feature,importance,model
PC1,0.04367426695160861,random_forest_pca
PC2,0.02130691219710052,random_forest_pca
PC3,0.011928931239414796,random_forest_pca
PC4,0.036504531747759424,random_forest_pca
PC5,0.1370375917165455,random_forest_pca
PC6,0.12095435935911522,random_forest_pca
PC7,0.07174747621712764,random_forest_pca
PC8,0.03011197778024077,random_forest_pca
PC9,0.023502695023986515,random_forest_pca
PC10,0.05033608224909381,random_forest_pca
PC11,0.04438658320538104,random_forest_pca
PC12,0.01964594986139788,random_forest_pca
PC13,0.013838001604355308,random_forest_pca
PC14,0.01996484039598331,random_forest_pca
PC15,0.028482157858469418,random_forest_pca
PC16,0.011591336798332645,random_forest_pca
PC17,0.028064032935551722,random_forest_pca
PC18,0.01757549957608961,random_forest_pca
PC19,0.014331387271237825,random_forest_pca
PC20,0.010298279585564242,random_forest_pca
PC21,0.008941667294608708,random_forest_pca
PC22,0.015766529280125105,random_forest_pca
PC23,0.012497628838468252,random_forest_pca
PC24,0.02195511437142995,random_forest_pca
PC25,0.01561333564265233,random_forest_pca
PC26,0.009226276399285976,random_forest_pca
PC27,0.010334403331384889,random_forest_pca
PC28,0.011089757748211054,random_forest_pca
PC29,0.017873960574834452,random_forest_pca
PC30,0.0169276795338738,random_forest_pca
PC31,0.010582653956523276,random_forest_pca
PC32,0.010662955198253709,random_forest_pca
PC33,0.007940798035758907,random_forest_pca
PC34,0.01164197429878385,random_forest_pca
PC35,0.009557484203898613,random_forest_pca
PC36,0.014378282433708384,random_forest_pca
PC37,0.008456699874002844,random_forest_pca
PC38,0.012622087527076765,random_forest_pca
PC39,0.009646325180733247,random_forest_pca
PC40,0.00900149270203006,random_forest_pca
