accuracy,balanced_accuracy,macro_f1,model,label_fraction
0.9521946979574099,0.9476203534449152,0.9473014147797625,logistic_pca,0.1
0.9682746631899174,0.9651830915296086,0.9649778427767691,logistic_pca,0.2
0.9769665362885702,0.9746757779370144,0.9744986214901762,logistic_pca,0.3
0.9752281616688396,0.9732900190676195,0.972785669306716,logistic_pca,0.4
0.9782703172533681,0.9764821037110765,0.9759935996242327,logistic_pca,0.5
0.979574098218166,0.9775190178245006,0.9772668043052509,logistic_pca,0.6
0.9791395045632334,0.9774817568966149,0.9770123509854082,logistic_pca,0.7
0.9821816601477619,0.9805118482062724,0.9801628054955759,logistic_pca,0.8
0.9813124728378966,0.9796437926507168,0.9793233842223885,logistic_pca,0.9
0.9817470664928292,0.9802580762016242,0.9797440686265181,logistic_pca,1.0
